AS1,AS1_org_id,AS1_org_name,AS2,AS2_org_id,AS2_org_name,Total_CO2,CO2_Normalized
13237,ORG-GVNG1-RIPE,euNetworks GmbH,198111,ORG-IDS9-RIPE,IP Directions SAS,44.18,4.07e-09
13237,ORG-GVNG1-RIPE,euNetworks GmbH,200748,ORG-EGSB1-RIPE,EPT Grand-Orly Seine Bievre,44.18,4.07e-09
13237,ORG-GVNG1-RIPE,euNetworks GmbH,206059,ORG-VVFB1-RIPE,Association Viviers Fibre,44.18,4.07e-09
14907,WIKIM-ARIN,Wikimedia Foundation Inc.,50172,ORG-RA233-RIPE,Regie Autonome Des Transports Parisiens,44.18,4.07e-09
14907,WIKIM-ARIN,Wikimedia Foundation Inc.,203030,ORG-KS72-RIPE,KINCY SAS,44.18,4.07e-09
16101,ORG-OA580-RIPE,ORDIPAT SAS,13237,ORG-GVNG1-RIPE,euNetworks GmbH,44.18,4.07e-09
16101,ORG-OA580-RIPE,ORDIPAT SAS,34927,ORG-IG165-RIPE,iFog GmbH,44.18,4.07e-09
16347,ORG-RI9-RIPE,ADISTA SAS,16101,ORG-OA580-RIPE,ORDIPAT SAS,44.18,4.07e-09
16347,ORG-RI9-RIPE,ADISTA SAS,41191,ORG-MA188-RIPE,Mappy SA,44.18,4.07e-09
16347,ORG-RI9-RIPE,ADISTA SAS,44000,ORG-NA257-RIPE,NET1C SARL,44.18,4.07e-09
16347,ORG-RI9-RIPE,ADISTA SAS,50172,ORG-RA233-RIPE,Regie Autonome Des Transports Parisiens,44.18,4.07e-09
16347,ORG-RI9-RIPE,ADISTA SAS,51269,ORG-HS32-RIPE,HEXATOM s.a.r.l.,44.18,4.07e-09
16347,ORG-RI9-RIPE,ADISTA SAS,199396,ORG-SAMW1-RIPE,Association Sames Wireless,44.18,4.07e-09
16347,ORG-RI9-RIPE,ADISTA SAS,203030,ORG-KS72-RIPE,KINCY SAS,44.18,4.07e-09
16347,ORG-RI9-RIPE,ADISTA SAS,211925,ORG-BSS38-RIPE,BLUE SOFT SAS,44.18,4.07e-09
20562,ORG-OPB1-RIPE,Broadband Hosting B.V.,42929,ORG-SA4454-RIPE,Artefact SARL,44.18,4.07e-09
25160,ORG-VL110-RIPE,Vorboss Limited,2072,ORG-RA8-RIPE,Renater,44.18,4.07e-09
